No,Kode,Nama Bahan Makanan,Karbohidrat (g),Protein (g),Lemak (g),Serat (g),% Karbo,% Protein,% Lemak,Waktu Makan,Kelompok Makanan,Mentah/Olahan
41,AP041,Cake tape,"50,1","4,9","11,5","1,4",75.3,7.4,17.3,B,Serealia,Olahan
42,AP042,Cangkuning,"31,4","2,8","7,5",-,75.3,6.7,18.0,B/L/D,Serealia,Olahan
43,AP043,Dodol bali,"65,9","3,7","2,1","0,4",91.9,5.2,2.9,B/L/D,Serealia,Olahan
44,AP044,Dodol galamai,"76,1","0,4","3,8","0,5",94.8,0.5,4.7,B/L/D,Serealia,Olahan
45,AP045,Dodol kedondong,"63,8","1,9","7,6","1,0",87.0,2.6,10.4,B/L/D,Serealia,Olahan
46,AP046,Dodol manado,"51,9","4,3","16,5","0,4",71.4,5.9,22.7,B/L/D,Serealia,Olahan
47,AP047,Emping beras,"85,3","10,6","2,2","0,2",87.0,10.8,2.2,B/L,Serealia,Olahan
48,AP048,Gemblong,"55,5","1,7","5,4","2,2",88.7,2.7,8.6,B/L/D,Serealia,Olahan
49,AP049,Gendar goreng,"32,0","6,4","28,2","0,1",48.0,9.6,42.3,B/L/D,Serealia,Olahan
50,AP050,Intip goreng,"62,3","7,6","21,6","1,2",68.1,8.3,23.6,B/L/D,Serealia,Olahan
51,AP051,Jagung gerontol,"33,3","2,7","1,3","1,0",89.3,7.2,3.5,B/L/D,Serealia,Olahan
52,AP052,Jagung titi,"79,1","9,4","2,2","0,8",87.2,10.4,2.4,B/L/D,Serealia,Olahan
53,AP053,Japilus,"67,3","1,2","25,1","0,4",71.9,1.3,26.8,B/L/D,Serealia,Olahan
54,AP054,Kakicak,"36,7","3,4","15,1",-,66.5,6.2,27.4,B/L/D,Serealia,Olahan
55,AP055,Kambose,"32,6","3,0","2,4","4,3",85.8,7.9,6.3,B/L/D,Serealia,Olahan
56,AP056,Kapusa,"27,8","4,4","3,2","5,3",78.5,12.4,9.0,B/L/D,Serealia,Olahan
57,AP057,Keddo bodong,"55,2","4,6","5,7",-,84.3,7.0,8.7,B/L/D,Serealia,Olahan
58,AP058,"Kelepon, kue","41,8","3,7","3,7","1,0",85.0,7.5,7.5,B,Serealia,Olahan
59,AP059,Kereput,"51,1","4,8","39,6",-,53.5,5.0,41.5,B/L/D,Serealia,Olahan
60,AP060,Ketoprak,"13,0","7,9","7,7","2,9",45.5,27.6,26.9,L,Serealia,Olahan
61,AP061,Ketupat kandangan,"13,4","2,2","5,2",-,64.4,10.6,25.0,L/D,Serealia,Olahan
62,AP062,Koya,"77,5","4,2","4,3","0,8",90.1,4.9,5.0,B/L/D,Serealia,Olahan
63,AP063,Koya mirasa,"82,2","8,0","1,0","0,4",90.1,8.8,1.1,B/L/D,Serealia,Olahan
64,AP064,Koyabu,"47,2","3,4","4,3",-,86.0,6.2,7.8,B/L/D,Serealia,Olahan
65,AP065,Kue ali,"64,5","3,8","18,5","0,3",74.3,4.4,21.3,B,Serealia,Olahan
66,AP066,Kue bangen,"74,2","3,3","14,7",-,80.5,3.6,15.9,B,Serealia,Olahan
67,AP067,Kue gelang,"70,0","5,8","16,1",-,76.2,6.3,17.5,B,Serealia,Olahan
68,AP068,Kue jahe,"84,6","1,6","8,8","1,2",89.1,1.7,9.3,B,Serealia,Olahan
69,AP069,Kue kelapa,"47,5","5,6","42,1",-,49.9,5.9,44.2,B,Serealia,Olahan
70,AP070,Kue koa,"79,3","4,8","0,4",-,93.8,5.7,0.5,B,Serealia,Olahan
71,AP071,Kue ku temu,"49,6","3,5","0,2",-,93.1,6.6,0.4,B,Serealia,Olahan
72,AP072,Kue lumpur,"44,1","3,6","11,1",-,75.0,6.1,18.9,B,Serealia,Olahan
73,AP073,Kue pelita,"17,6","5,3","5,5",-,62.0,18.7,19.4,B,Serealia,Olahan
74,AP074,Kue putu cangkir,"54,9","5,3","7,0","0,9",81.7,7.9,10.4,B,Serealia,Olahan
75,AP075,Kue sus,"24,8","7,5","10,2",-,58.4,17.6,24.0,B,Serealia,Olahan
76,AP076,Kue thipan,"49,5","2,9","4,2",-,87.5,5.1,7.4,B,Serealia,Olahan
77,AP077,Laksa/Putu mayang,"21,1","1,7","3,4",-,80.5,6.5,13.0,B/L/D,Serealia,Olahan
78,AP078,Lapis legit,"55,5","6,6","15,7","0,5",71.3,8.5,20.2,B/L/D,Serealia,Olahan
79,AP079,Lupis ketan,"34,5","1,8","2,1","0,7",89.8,4.7,5.5,B/L,Serealia,Olahan
80,AP080,Manan samin,"50,6","3,4","18,1",-,70.2,4.7,25.1,B/L/D,Serealia,Olahan
81,AP081,Martabak india,"24,3","4,5","4,2",-,73.6,13.6,12.7,L/D,Serealia,Olahan
82,AP082,Martabak mesir,"45,0","5,1","8,6",-,76.7,8.7,14.7,L/D,Serealia,Olahan
83,AP083,Masekat,"74,1","2,1","7,0","4,0",89.1,2.5,8.4,B/L/D,Serealia,Olahan
84,AP084,Mie aceh rebus,"18,1","3,0","3,2",-,74.5,12.3,13.2,B/L/D,Serealia,Olahan
85,AP085,Mie ayam,"10,5","6,2","3,9",-,51.0,30.1,18.9,B/L/D,Serealia,Olahan
86,AP086,Mie bakso,"16,4","5,3","3,0","0,1",66.4,21.5,12.1,B/L/D,Serealia,Olahan
87,AP087,Mie celon,"17,8","3,0","2,1",-,77.7,13.1,9.2,B/L/D,Serealia,Olahan
88,AP088,Mie pangsit basah,"9,4","5,9","4,9",-,46.5,29.2,24.3,B/L/D,Serealia,Olahan
89,AP089,Nasi gemuk,"24,4","3,8","8,8","0,7",65.9,10.3,23.8,B/L/D,Serealia,Olahan
90,AP090,Nasi gurih,"26,0","4,7","7,5","0,7",68.1,12.3,19.6,B/L/D,Serealia,Olahan
91,AP091,Nasi minyak,"37,1","3,5","5,0","0,8",81.4,7.7,11.0,B/L/D,Serealia,Olahan
92,AP092,Nasi rames,"19,1","10,3","4,2",-,56.8,30.7,12.5,B/L/D,Serealia,Olahan
93,AP093,Nopia spesial,"74,3","5,3","7,6","0,3",85.2,6.1,8.7,B/L/D,Serealia,Olahan
94,AP094,Onde-onde,"57,9","4,0","9,8",-,80.8,5.6,13.7,B/L/D,Serealia,Olahan
95,AP095,Padamaran,"18,8","3,9","8,9",-,59.5,12.3,28.2,B/L/D,Serealia,Olahan
96,AP096,Pastel,"42,4","4,5","13,3",-,70.4,7.5,22.1,B/L/D,Serealia,Olahan
